speed,lateralSpeed,trackPosition,trackEdge_0,trackEdge_1,trackEdge_2,trackEdge_3,trackEdge_4,trackEdge_5,trackEdge_6,trackEdge_7,trackEdge_8,trackEdge_9,trackEdge_10,trackEdge_11,trackEdge_12,trackEdge_13,trackEdge_14,trackEdge_15,trackEdge_16,trackEdge_17,trackEdge_18,angleToTrackAxis,action_accelerate,action_brake,action_clutch,action_gear,action_steering,action_focus
56.0325,-0.000784366,-0.343473,7.38928,7.49335,7.83887,8.48289,9.54886,11.293,14.3427,20.5027,37.9585,200,23.4998,11.0652,7.38508,5.68844,4.75027,4.18964,3.85339,3.67126,3.61096,-0.00651139,1.000000,0.000000,0.000000,2,0.000000,360
56.0097,-0.000625708,-0.342585,7.38446,7.48694,7.83036,8.4711,9.53094,11.2687,14.3119,20.4583,37.8748,200,23.6073,11.1153,7.4164,5.70553,4.76184,4.1982,3.86023,3.677,3.61584,-0.00764674,1.000000,0.000000,0.000000,2,0.000000,360
55.9883,-0.000246665,-0.341564,7.37891,7.47986,7.82077,8.45794,9.51123,11.2446,14.2813,20.4144,37.7936,200,23.7134,11.1652,7.44956,5.7249,4.77479,4.20798,3.86804,3.68353,3.62152,-0.00876969,1.000000,0.000000,0.000000,2,0.000000,360
55.9776,-0.000145929,-0.340998,7.37579,7.47585,7.8156,8.45078,9.501,11.2325,14.2658,20.3924,37.7528,200,23.7666,11.1901,7.4662,5.73552,4.78183,4.2133,3.87231,3.68708,3.62469,-0.00932949,1.000000,0.000000,0.000000,2,0.000000,360
56.9867,-0.000249951,-0.339777,7.36917,7.46738,7.80453,8.43533,9.48067,11.2084,14.2352,20.3487,37.6714,200,23.8725,11.2399,7.49939,5.75845,4.79716,4.22476,3.88159,3.69485,3.63141,-0.0105883,1.000000,0.000000,0.000000,2,0.000000,360
57.543,-0.00020462,-0.339117,7.3656,7.46277,7.79855,8.42703,9.47047,11.1964,14.22,20.3267,37.6307,200,23.9253,11.2648,7.51594,5.77081,4.80552,4.2309,3.88654,3.69907,3.6351,-0.0113336,1.000000,0.000000,0.000000,2,0.000000,360
58.6564,-0.000179507,-0.337663,7.35776,7.45285,7.78542,8.40929,9.45006,11.1723,14.1893,20.2829,37.5495,200,24.0309,11.3146,7.5492,5.79632,4.8238,4.2445,3.89739,3.70825,3.64313,-0.0128428,1.000000,0.000000,0.000000,2,0.000000,360
59.7773,-7.15896e-006,-0.336043,7.34897,7.44179,7.77083,8.39118,9.4297,11.1482,14.1587,20.2393,37.4686,200,24.1363,11.3642,7.58228,5.82176,4.84414,4.25987,3.90958,3.71847,3.65216,-0.0143811,1.000000,0.000000,0.000000,2,0.000000,360
60.9104,-6.76067e-005,-0.334123,7.33859,7.42865,7.754,8.37238,9.4086,11.1232,14.127,20.1939,37.3847,200,24.2459,11.4157,7.61666,5.84814,4.86612,4.27783,3.9241,3.73071,3.66278,-0.0161363,1.000000,0.000000,0.000000,2,0.000000,360
61.4823,-3.23884e-005,-0.33288,7.33191,7.42041,7.7442,8.3618,9.39671,11.1092,14.1092,20.1684,37.3373,200,24.3076,11.4447,7.63601,5.86299,4.87848,4.28864,3.93317,3.73849,3.66971,-0.0172679,1.000000,0.000000,0.000000,2,0.000000,360
62.0578,3.75866e-005,-0.331565,7.3248,7.41177,7.73438,8.3512,9.38478,11.0951,14.0913,20.1428,37.2901,200,24.3693,11.4738,7.65541,5.87789,4.89088,4.29954,3.94269,3.7467,3.67703,-0.018408,1.000000,0.000000,0.000000,2,0.000000,360
63.8077,-2.31654e-005,-0.327143,7.30099,7.38392,7.70494,8.31941,9.34906,11.0529,14.0376,20.0661,37.148,200,24.5544,11.561,7.71356,5.92253,4.92802,4.33219,3.97259,3.77399,3.7016,-0.0218951,1.000000,0.000000,0.000000,2,0.000000,360
64.9932,1.56005e-005,-0.330455,7.31953,7.40173,7.72311,8.33854,9.3699,11.0764,14.0656,20.1009,37.1871,200,24.4806,11.5146,7.68016,5.89593,4.90538,4.31196,3.95379,3.75593,3.68352,-0.0235349,1.000000,0.000000,0.000000,2,0.000000,360
66.1932,-2.0315e-005,-0.327037,7.30073,7.38271,7.70327,8.31712,9.34582,11.048,14.0294,20.0492,37.0913,200,24.6058,11.5734,7.71938,5.92604,4.93042,4.33397,3.97397,3.7751,3.70232,-0.0235361,1.000000,0.000000,0.000000,2,0.000000,360
67.4075,1.69211e-005,-0.323619,7.28192,7.3637,7.68343,8.2957,9.32176,11.0195,13.9933,19.9976,36.9961,200,24.7306,11.6321,7.75857,5.95613,4.95546,4.35598,3.99416,3.79428,3.72112,-0.0235349,1.000000,0.000000,0.000000,2,0.000000,360
68.6373,-2.49691e-005,-0.320202,7.26312,7.34468,7.66359,8.27427,9.29768,10.9911,13.9572,19.9459,36.9003,200,24.8557,11.691,7.7978,5.98623,4.98051,4.378,4.01434,3.81345,3.73993,-0.0235361,1.000000,0.000000,0.000000,2,0.000000,360
70.5051,-5.10156e-005,-0.314875,7.23381,7.31505,7.63267,8.24089,9.26017,10.9467,13.9009,19.8655,36.7515,200,25.0504,11.7825,7.85889,6.03314,5.01953,4.4123,4.0458,3.84333,3.76923,-0.0235353,1.000000,0.000000,0.000000,2,0.000000,360
71.7628,3.14563e-005,-0.310969,7.21232,7.29331,7.60999,8.21641,9.23265,10.9142,13.8596,19.8064,36.6423,200,25.1933,11.8497,7.9037,6.06754,5.04815,4.43746,4.06886,3.86524,3.79072,-0.0235358,1.000000,0.000000,0.000000,2,0.000000,360
73.0298,-4.47169e-005,-0.307062,7.19083,7.27158,7.58732,8.19193,9.20515,10.8817,13.8183,19.7474,36.5332,200,25.336,11.9169,7.9485,6.10193,5.07677,4.46261,4.09193,3.88716,3.81221,-0.0235352,1.000000,0.000000,0.000000,2,0.000000,360
73.6679,-2.82987e-005,-0.305109,7.18009,7.26072,7.57598,8.17968,9.19139,10.8654,13.7976,19.7179,36.4785,200,25.4075,11.9505,7.97091,6.11913,5.09108,4.47519,4.10347,3.89811,3.82296,-0.023536,1.000000,0.000000,0.000000,2,0.000000,360
74.9517,-2.77699e-006,-0.301203,7.1586,7.23899,7.55331,8.1552,9.16388,10.8329,13.7563,19.6589,36.3695,200,25.5502,12.0176,8.01571,6.15353,5.11969,4.50035,4.12653,3.92003,3.84445,-0.0235351,1.000000,0.000000,0.000000,2,0.000000,360
